                        id                         | mediaobject_id |       mid        |                                      programurl                                      
 41135535                                          |       16875107 | POMS_VPRO_056325 | http://download.omroep.nl/vpro/41135535.mp3
 Stephen_Mayes                                     |                |                  | 
 35387977                                          |       19370803 | POMS_VPRO_104727 | http://download.omroep.nl/vpro/35387977.mp3
 39859274                                          |       16875545 | POMS_VPRO_056382 | http://download.omroep.nl/vpro/39859274.mp3
 41128216                                          |        7109864 | POMS_VPRO_071504 | http://download.omroep.nl/vpro/41128216.mp3
 41128216                                          |       16875163 | POMS_VPRO_056333 | http://download.omroep.nl/vpro/41128216.mp3
 42205211                                          |       16873235 | POMS_VPRO_056090 | http://download.omroep.nl/vpro/42205211.mp3
 41887104                                          |       17761469 | POMS_VPRO_076073 | http://download.omroep.nl/vpro/41887104.mp3
 41136080                                          |       17646440 | POMS_VPRO_073736 | http://download.omroep.nl/vpro/41136080.mp3
 42170964                                          |       16874633 | POMS_VPRO_056258 | http://download.omroep.nl/vpro/42170964.mp3
 35713229                                          |       19707944 | POMS_VPRO_105759 | http://download.omroep.nl/vpro/35713229.mp3
 39859561                                          |       16875459 | POMS_VPRO_056372 | http://download.omroep.nl/vpro/39859561.mp3
 42198777                                          |       16873830 | POMS_VPRO_056144 | http://download.omroep.nl/vpro/42198777.mp3
 Michael_Rand_uur_2                                |                |                  | 
 41136346                                          |       16875030 | POMS_VPRO_056314 | http://download.omroep.nl/vpro/41136346.mp3
 42215606                                          |       16874245 | POMS_VPRO_056203 | http://download.omroep.nl/vpro/42215606.mp3
 42196191                                          |        7144277 | POMS_VPRO_212122 | http://download.omroep.nl/vpro/42196191.mp3
 42196191                                          |       16873942 | POMS_VPRO_056160 | http://download.omroep.nl/vpro/42196191.mp3
 42214118                                          |       16873083 | POMS_VPRO_056080 | http://download.omroep.nl/vpro/42214118.mp3
 42172951                                          |        7085500 | POMS_VPRO_199907 | http://download.omroep.nl/vpro/42172951.mp3
 42172951                                          |       16874591 | POMS_VPRO_056252 | http://download.omroep.nl/vpro/42172951.mp3
 41127855                                          |        7109843 | POMS_VPRO_071491 | http://download.omroep.nl/vpro/41127855.mp3
 41127855                                          |       16875185 | POMS_VPRO_056336 | http://download.omroep.nl/vpro/41127855.mp3
 39859172                                          |        7112957 | POMS_VPRO_107843 | http://download.omroep.nl/vpro/39859172.mp3
 39859172                                          |       16875591 | POMS_VPRO_056387 | http://download.omroep.nl/vpro/39859172.mp3
 39588631                                          |       16876007 | POMS_VPRO_056434 | http://download.omroep.nl/vpro/39588631.mp3
 42205421                                          |       16873108 | POMS_VPRO_056081 | http://download.omroep.nl/vpro/42205421.mp3
 36898283                                          |       16875864 | POMS_VPRO_056417 | http://download.omroep.nl/vpro/36898283.mp3
 35895117                                          |       16872539 | POMS_VPRO_056039 | http://download.omroep.nl/vpro/35895117.mp3
 42213793                                          |       16872943 | POMS_VPRO_056071 | http://download.omroep.nl/vpro/42213793.mp3
 35388242                                          |        7033324 | POMS_VPRO_214539 | http://download.omroep.nl/vpro/35388242.mp3
 35388242                                          |       16874112 | POMS_VPRO_056184 | http://download.omroep.nl/vpro/35388242.mp3
 39323193                                          |        7115465 | POMS_VPRO_212209 | http://download.omroep.nl/vpro/39323193.mp3
 39323193                                          |       16876186 | POMS_VPRO_056456 | http://download.omroep.nl/vpro/39323193.mp3
 35387918                                          |       19350726 | POMS_VPRO_104691 | http://download.omroep.nl/vpro/35387918.mp3
 36346150                                          |       19764006 | POMS_VPRO_106205 | http://download.omroep.nl/vpro/36346150.mp3
 36626853                                          |       19764187 | POMS_VPRO_106244 | http://download.omroep.nl/vpro/36626853.mp3
 37695373                                          |       16876280 | POMS_VPRO_056466 | http://download.omroep.nl/vpro/37695373.mp3
 39859180                                          |        7112964 | POMS_VPRO_107865 | http://download.omroep.nl/vpro/39859180.mp3
 39859180                                          |       16875582 | POMS_VPRO_056386 | http://download.omroep.nl/vpro/39859180.mp3
 42170846                                          |       16874710 | POMS_VPRO_056269 | http://download.omroep.nl/vpro/42170846.mp3
 41174282                                          |        7034039 | POMS_VPRO_214562 | http://download.omroep.nl/vpro/41174282.mp3
 41174282                                          |       16874929 | POMS_VPRO_056300 | http://download.omroep.nl/vpro/41174282.mp3
 42174324                                          |        7084775 | POMS_VPRO_213625 | http://download.omroep.nl/vpro/42174324.mp3
 42174324                                          |       16874421 | POMS_VPRO_056228 | http://download.omroep.nl/vpro/42174324.mp3
 39633215                                          |       16872760 | POMS_VPRO_056058 | http://download.omroep.nl/vpro/39633215.mp3
 38989432                                          |       16876135 | POMS_VPRO_056451 | http://download.omroep.nl/vpro/38989432.mp3
 42193719                                          |       16874161 | POMS_VPRO_056191 | http://download.omroep.nl/vpro/42193719.mp3
 42173065                                          |        7085507 | POMS_VPRO_199908 | http://download.omroep.nl/vpro/42173065.mp3
 42173065                                          |       16874584 | POMS_VPRO_056251 | http://download.omroep.nl/vpro/42173065.mp3
 42205093                                          |       16873302 | POMS_VPRO_056099 | http://download.omroep.nl/vpro/42205093.mp3
 42193871                                          |       16874056 | POMS_VPRO_056176 | http://download.omroep.nl/vpro/42193871.mp3
 42181711                                          |       16874140 | POMS_VPRO_056188 | http://download.omroep.nl/vpro/42181711.mp3
 40887766                                          |       16875220 | POMS_VPRO_056341 | http://download.omroep.nl/vpro/40887766.mp3
 37695438                                          |       16876234 | POMS_VPRO_056461 | http://download.omroep.nl/vpro/37695438.mp3
 42181426                                          |       16874210 | POMS_VPRO_056198 | http://download.omroep.nl/vpro/42181426.mp3
 42199413                                          |       16873743 | POMS_VPRO_056133 | http://download.omroep.nl/vpro/42199413.mp3
 40867659                                          |       16875396 | POMS_VPRO_056364 | http://download.omroep.nl/vpro/40867659.mp3
 42170890                                          |       17780537 | POMS_VPRO_076294 | http://download.omroep.nl/vpro/42170890.mp3
 38989463                                          |       16876114 | POMS_VPRO_056448 | http://download.omroep.nl/vpro/38989463.mp3
 41136456                                          |       16875016 | POMS_VPRO_056312 | http://download.omroep.nl/vpro/41136456.mp3
 42170878                                          |       16874689 | POMS_VPRO_056266 | http://download.omroep.nl/vpro/42170878.mp3
 37695394                                          |       16876271 | POMS_VPRO_056465 | http://download.omroep.nl/vpro/37695394.mp3
 40867858                                          |       16875381 | POMS_VPRO_056363 | http://download.omroep.nl/vpro/40867858.mp3
 41136227                                          |       16875044 | POMS_VPRO_056316 | http://download.omroep.nl/vpro/41136227.mp3
 42205450                                          |                |                  | 
 42205130                                          |       16873270 | POMS_VPRO_056095 | http://download.omroep.nl/vpro/42205130.mp3
 39859259                                          |       16875537 | POMS_VPRO_056381 | http://download.omroep.nl/vpro/39859259.mp3
